periodo;plazo_desde;plazo_hasta;cf
20130301;1;12;0.5000
20130301;13;24;0.5300
20130301;25;36;0.5500
20130301;37;48;0.5600
20130301;49;60;0.5600
20130301;61;72;0.5700
20130301;73;84;0.5700
20130301;85;96;0.5800
20130301;109;120;0.5800
20130301;133;144;0.5800
20130301;169;180;0.5800
20130304;1;12;0.5000
20130304;13;24;0.5300
20130304;25;36;0.5400
20130304;37;48;0.5500
20130304;49;60;0.5600
20130304;61;72;0.5600
20130304;73;84;0.5600
20130304;85;96;0.5600
20130304;109;120;0.5700
20130304;133;144;0.5700
20130304;169;180;0.5700
20130305;1;12;0.5000
20130305;13;24;0.5300
20130305;25;36;0.5400
20130305;37;48;0.5500
20130305;49;60;0.5600
20130305;61;72;0.5600
20130305;73;84;0.5600
20130305;85;96;0.5600
20130305;109;120;0.5700
20130305;133;144;0.5700
20130305;169;180;0.5700
20130306;1;12;0.5000
20130306;13;24;0.5300
20130306;25;36;0.5400
20130306;37;48;0.5500
20130306;49;60;0.5600
20130306;61;72;0.5600
20130306;73;84;0.5600
20130306;85;96;0.5600
20130306;109;120;0.5700
20130306;133;144;0.5700
20130306;169;180;0.5700
20130307;1;12;0.5000
20130307;13;24;0.5300
20130307;25;36;0.5400
20130307;37;48;0.5500
20130307;49;60;0.5600
20130307;61;72;0.5600
20130307;73;84;0.5600
20130307;85;96;0.5600
20130307;109;120;0.5700
20130307;133;144;0.5700
20130307;169;180;0.5700
20130308;1;12;0.5000
20130308;13;24;0.5300
20130308;25;36;0.5400
20130308;37;48;0.5500
20130308;49;60;0.5600
20130308;61;72;0.5600
20130308;73;84;0.5600
20130308;85;96;0.5600
20130308;109;120;0.5700
20130308;133;144;0.5700
20130308;169;180;0.5700
20130311;1;12;0.5000
20130311;13;24;0.5200
20130311;25;36;0.5400
20130311;37;48;0.5500
20130311;49;60;0.5500
20130311;61;72;0.5600
20130311;73;84;0.5600
20130311;85;96;0.5700
20130311;109;120;0.5700
20130311;133;144;0.5700
20130311;169;180;0.5800
20130312;1;12;0.5000
20130312;13;24;0.5200
20130312;25;36;0.5400
20130312;37;48;0.5500
20130312;49;60;0.5500
20130312;61;72;0.5600
20130312;73;84;0.5600
20130312;85;96;0.5700
20130312;109;120;0.5700
20130312;133;144;0.5700
20130312;169;180;0.5800
